id,product_name,price
1,"Pasta - Penne, Rigate, Dry",$0.29
2,Horseradish - Prepared,$3.37
3,Bag Stand,$0.63
4,Coffee - Cafe Moreno,$7.21
5,Coffee - Decaffeinato Coffee,$8.38
6,"Water - Mineral, Carbonated",$9.22
7,Isomalt,$0.12
8,Sloe Gin - Mcguinness,$7.88
9,Raisin - Dark,$1.19
10,Loquat,$1.26
11,Egg Patty Fried,$2.24
12,Wine - Spumante Bambino White,$0.07
13,"Mushroom - Porcini, Dry",$2.84
14,Icecream Bar - Del Monte,$2.71
15,"Tomatoes - Vine Ripe, Red",$0.46
16,Smirnoff Green Apple Twist,$0.12
17,Skirt - 24 Foot,$2.53
18,Pastry - Key Limepoppy Seed Tea,$6.48
19,Sloe Gin - Mcguinness,$0.70
20,"Oranges - Navel, 72",$8.31
21,Veal - Osso Bucco,$1.23
22,Ham - Black Forest,$3.05
23,"Quail - Whole, Boneless",$4.27
24,Mustard - Seed,$1.68
25,Truffle Shells - Semi - Sweet,$7.42
26,Ham - Proscuitto,$5.55
27,"Pork - Tenderloin, Frozen",$9.04
28,Apple - Granny Smith,$9.56
29,Arctic Char - Fillets,$5.23
30,"Pasta - Orzo, Dry",$1.49
31,"Beef - Ground, Extra Lean, Fresh",$1.30
32,Shark - Loin,$2.09
33,Yogurt - Assorted Pack,$3.41
34,"Wine - Sherry Dry Sack, William",$3.64
35,General Purpose Trigger,$8.47
36,Oysters - Smoked,$7.36
37,Macaroons - Two Bite Choc,$5.70
38,Pineapple - Golden,$9.97
39,Pike - Frozen Fillet,$3.17
40,"Yeast - Fresh, Fleischman",$0.28
41,"Juice - Clam, 46 Oz",$0.68
42,"Trout - Rainbow, Frozen",$6.65
43,Orange Roughy 6/8 Oz,$1.01
44,Pickles - Gherkins,$5.24
45,"Pork - Tenderloin, Fresh",$5.31
46,Icecream Bar - Del Monte,$1.27
47,Magnotta Bel Paese Red,$3.52
48,Sour Puss Sour Apple,$8.18
49,Lettuce - Arugula,$3.56
50,Cheese - Mix,$1.32
51,Wine - Pinot Noir Stoneleigh,$6.78
52,Muffin Carrot - Individual,$6.51
53,Grenadillo,$9.55
54,"Chocolate - Milk, Callets",$8.43
55,"Tortillas - Flour, 10",$9.87
56,Sherbet - Raspberry,$4.07
57,Icecream - Dstk Super Cone,$4.73
58,Mints - Striped Red,$2.30
59,Burger Veggie,$4.13
60,Smoked Paprika,$6.48
61,Wine - Barbera Alba Doc 2001,$7.62
62,Soup - Campbells - Tomato,$1.07
63,Wine - German Riesling,$9.54
64,Pur Value,$6.06
65,Tomatoes - Cherry,$9.28
66,Poppy Seed,$5.32
67,"Lamb - Racks, Frenched",$7.57
68,Cheese - St. Paulin,$4.08
69,Ketchup - Tomato,$8.55
70,Garam Masala Powder,$0.49
71,Sherbet - Raspberry,$2.37
72,Aspic - Amber,$5.63
73,"Pepsi, 355 Ml",$4.99
74,Foil - 4oz Custard Cup,$9.64
75,Apple - Fuji,$9.40
76,Ecolab - Mikroklene 4/4 L,$2.30
77,Coffee - Egg Nog Capuccino,$0.01
78,Water - Spring Water 500ml,$6.83
79,Butter - Unsalted,$8.05
80,"Beer - Alexander Kieths, Pale Ale",$9.46
81,Creme De Banane - Marie,$2.31
82,Kale - Red,$9.54
83,Orange - Blood,$8.49
84,Spinach - Frozen,$1.23
85,"Cheese - Cheddar, Mild",$8.45
86,Madeira,$3.47
87,"Flour - Bran, Red",$5.13
88,"Cheese - Romano, Grated",$6.15
89,"Capon - Breast, Wing On",$2.22
90,Turnip - White,$0.55
91,Muskox - French Rack,$8.77
92,Dr. Pepper - 355ml,$3.55
93,Oregano - Fresh,$6.86
94,Remy Red Berry Infusion,$2.52
95,"Tuna - Canned, Flaked, Light",$7.73
96,Sprouts - Onion,$9.52
97,Mushroom Morel Fresh,$1.38
98,Foam Espresso Cup Plain White,$4.93
99,Parsnip,$2.93
100,"Lemonade - Strawberry, 591 Ml",$3.74
101,Hagen Daza - Dk Choocolate,$4.13
102,Bread Cranberry Foccacia,$5.87
103,"Pasta - Canelloni, Single Serve",$2.74
104,Crush - Cream Soda,$7.40
105,"Wine - Red, Wolf Blass, Yellow",$5.80
106,Wine - Casillero Deldiablo,$9.71
107,Banana - Leaves,$3.07
108,Sour Cream,$7.69
109,"Jam - Strawberry, 20 Ml Jar",$7.56
110,Sausage - Chorizo,$0.44
111,Mushroom - Lg - Cello,$7.12
112,Syrup - Chocolate,$8.57
113,Steam Pan Full Lid,$1.51
114,Danishes - Mini Raspberry,$4.76
115,Nantucket - Kiwi Berry Cktl.,$9.09
116,Tea - Jasmin Green,$8.53
117,"Sauce - Apple, Unsweetened",$2.45
118,Wine - Alsace Gewurztraminer,$3.65
119,"Fish - Soup Base, Bouillon",$4.03
120,Mushroom - Portebello,$7.59
121,Ostrich - Prime Cut,$5.58
122,Lettuce - Escarole,$8.86
123,Broom Handle,$7.73
124,Muffin Mix - Banana Nut,$9.12
125,Bread - Kimel Stick Poly,$3.42
126,Table Cloth 120 Round White,$8.76
127,Grenadine,$4.24
