Row,Country,Sales,Year
7,AUS ,1081,2000
15,AUS ,1214,2000
23,AUS ,1381,2000
31,AUS ,1117,2000
39,AUS ,1853,2000
47,AUS ,1760,2000
55,AUS ,1440,2000
63,AUS ,861,2000
5,IND ,1842,2014
6,IND ,1596,2015
13,IND ,1391,2014
14,IND ,1656,2015
21,IND ,1260,2014
22,IND ,1422,2015
29,IND ,1231,2014
30,IND ,1817,2015
37,IND ,1860,2014
38,IND ,1175,2015
45,IND ,1746,2014
46,IND ,1377,2015
53,IND ,901,2014
54,IND ,1397,2015
61,IND ,1535,2014
62,IND ,1805,2015
8,SA ,1197,2002
16,SA ,897,2002
24,SA ,1465,2002
32,SA ,1851,2002
40,SA ,1637,2002
48,SA ,1189,2002
56,SA ,1196,2002
64,SA ,1349,2002
3,UK ,1163,2017
4,UK ,1439,2018
11,UK ,1648,2017
12,UK ,1064,2018
19,UK ,1777,2017
20,UK ,886,2018
27,UK ,1046,2017
28,UK ,1472,2018
35,UK ,861,2017
36,UK ,1813,2018
43,UK ,1634,2017
44,UK ,1316,2018
51,UK ,1847,2017
52,UK ,905,2018
59,UK ,1808,2017
60,UK ,920,2018
1,USA ,1242,2014
2,USA ,1604,2015
9,USA ,1688,2014
10,USA ,887,2015
17,USA ,873,2014
18,USA ,1412,2015
25,USA ,1199,2014
26,USA ,1280,2015
33,USA ,1867,2014
34,USA ,859,2015
41,USA ,1676,2014
42,USA ,1003,2015
49,USA ,1169,2014
50,USA ,1577,2015
57,USA ,929,2014
58,USA ,915,2015
